Watchtower ID,Postcode,Population Served,Watchtower Point of Contact Name,x,y
WT3030WFXSP,3030,16718,Adam Guess,144.6583806266531,-37.920393458737394
WT3030EAAIV,3030,16718,Kristi Blair,144.6243406879087,-37.91670989311453
WT3030CEWEY,3030,16718,Trina Smith,144.52820347883215,-37.9093277995756
WT3030JVCEB,3030,16718,Louis Johnston,144.45024112491487,-37.98394994940138
WT3030YFNAG,3030,16718,Corey Johnson,144.70361542108188,-37.92472052154974
WT3030LTIGF,3030,16718,Rose Doyle,144.46278815338627,-38.00911872735974
WT3029SXHHE,3029,31316,Linda Iversen,144.71296675156486,-37.86520821798988
WT3029WTVUC,3029,31316,Betty Kinkead,144.65575178193805,-37.85023341318659
WT3029FPTUC,3029,31316,Linda Holmes,144.64896347497066,-37.80533290563009
WT3977GQKCK,3977,46663,Elbert Gonzalez,145.25331943044847,-38.113610331211525
WT3977EDZMT,3977,46663,Jared Mini,145.20203781339058,-38.11829293213807
WT3064ZSYLE,3064,75457,Andres Hinerman,144.99937422807804,-37.529604814092735
WT3023FWWDF,3023,12794,Bruce Shelton,144.78739771947542,-37.717817040670845
WT3023UPTGH,3023,12794,Audrey Pottinger,144.73156254752686,-37.74093124005147
WT3023MTCLY,3023,12794,Karri Daniel,144.75885721627395,-37.79319127956608
WT3023QBQJF,3023,12794,Sandra Jaynes,144.7116868675065,-37.79835253004884
WT3023SNBCZ,3023,12794,Harold Street,144.74109283367372,-37.7770166374208
WT3150RJFPF,3150,60079,Charles Mayhew,145.15558074332156,-37.880884421156225
WT3350NKSMB,3350,59145,Robert Walker,143.79635297547784,-37.53085956944499
WT3805LNWZK,3805,56933,Al Howard,145.32997457936534,-38.02904884185844
WT3216YAONQ,3216,9380,Mamie Isenberg,144.3574810402222,-38.18212005541767
WT3216RRLQT,3216,9380,Lucia Nesbit,144.26515487987933,-38.19543768887932
WT3216JMHUR,3216,9380,Brian Funderburk,144.36188022322395,-38.18996650227888
WT3216XCZZB,3216,9380,Joseph Fitzgerald,144.32820084704858,-38.18360092582498
WT3216DJFMH,3216,9380,Carole Ines,144.2756956328754,-38.21314829043297
WT3216KCMJI,3216,9380,Edward Kirby,144.35398948209195,-38.194825198185804
WT3199YCAXG,3199,54298,Karolyn Powers,145.12150620883324,-38.14922616931948
WT3021GOWCI,3021,10838,David Kinkelaar,144.80893593008622,-37.76038864241594
WT3021WLVBY,3021,10838,Grace Delisio,144.76656834121744,-37.74757159362882
WT3021ZDXUT,3021,10838,Joel Koppenhaver,144.79009590439128,-37.75656051246632
WT3021ETLPZ,3021,10838,Bessie Britton,144.82137301024244,-37.76070759665212
WT3021NRDYD,3021,10838,Michael Ford,144.7744197768088,-37.72333341047645
WT3175IPFYN,3175,17765,Thomas Arrington,145.225146895528,-38.022615341752626
WT3175NTSYH,3175,17765,Howard Hall,145.16065666389912,-38.05647092673088
WT3175FGGWD,3175,17765,Pamela Arch,145.17941408411815,-38.07927410144703
WT3037YAKEI,3037,25577,Paul Watson,144.7404381965215,-37.71057606210163
WT3037PDFYE,3037,25577,Kirk Wells,144.7531908939604,-37.67923545314725
WT3073SJWMD,3073,12618,Eric Brinton,145.00498806225505,-37.69072253860459
WT3073KMHND,3073,12618,Cheryl Johnson,145.00457802784703,-37.702736125755365
WT3073ONYMR,3073,12618,Mike Torres,145.00628991909576,-37.711935332631434
WT3073PYIIS,3073,12618,Christina Drumheller,145.0391077826588,-37.722743246616815
WT3806QYESS,3806,8086,James Escobar,145.3317722219415,-37.97440088154117
WT3806FONGK,3806,8086,Mae Westlie,145.3474579996713,-37.99807732281171
WT3806ZXAFC,3806,8086,Anthony Sanders,145.31703178391476,-38.043913751358616
WT3806RWKRS,3806,8086,Helen Harris,145.38696767754786,-38.01640678680775
WT3806RCRBI,3806,8086,Ronald Clark,145.32693996891396,-38.03540190423143
WT3806CGOWL,3806,8086,Marx Weiner,145.3853509640092,-38.016276081953485
WT3810RRMDP,3810,47894,Shirl Bays,145.54377380709113,-38.11642115246884
WT3020YBMJJ,3020,14927,David Romero,144.81308271981888,-37.78017960084323
WT3020TBHAH,3020,14927,Mark Moore,144.80793220831066,-37.78665609588704
WT3020IKMGC,3020,14927,Zula Nagy,144.85181759620312,-37.8113734834473
WT3136XMORO,3136,14789,Jennifer Annis,145.2610489901307,-37.776402809772044
WT3136JFBGP,3136,14789,Luis Lawson,145.30362087169183,-37.81142513832987
WT3136OPSQS,3136,14789,Harriett Bunch,145.25652650583658,-37.78338733774677
WT3550MNEUC,3550,10084,Aaron Timberlake,144.34548014895424,-36.76077323665997
WT3550WPDGF,3550,10084,Frank Hall,144.3052352950293,-36.748338469985555
WT3550ANADF,3550,10084,Virginia Lumpkins,144.25225555806287,-36.7583657822827
WT3550ZOAVN,3550,10084,Melinda Longoria,144.31154158895455,-36.76339563696199
WT3174QCCPN,3174,12820,Douglas Henley,145.18170096492744,-37.962463453868814
WT3174SVLFP,3174,12820,Linda Pena,145.19975492357466,-37.97228515371461
WT3174RTNEX,3174,12820,Marina King,145.19624744732596,-37.94599511222388
WT3000MGKPJ,3000,18987,Otilia Rykaczewski,144.96171181726967,-37.82148358923285
WT3000EYYYK,3000,18987,Peter Wheeler,144.9527711985453,-37.82383328788954
WT3754SXJZI,3754,6292,Henriette Mitchell,145.1619799395555,-37.61057382984485
